,Title,Job Description,Compnay Name,Location,Degree Type,Skills
0,Front Desk Officer,* oversee all secretarial duties at entrance desk* perform administrative responsibilities in an efficient manner* outstanding customer service skills* ability to prioritize multi tasks* excellent communication and organizational skills* fluent in it concepts*  hnd/bsc in any disciplineapply by sending cv to outsourcing4tdglobalresource@gmail.com,TD Global Resource,Lagos,"ma, hnd, bsc, ma, nce","manning the switchboard, receiving, endorsing letters, MS Office applications, accounting softwares"
1,Customer Service Representative,"the ideal candidate loves talking to people and proactively solving issues. you will be responsible for converting customers into passionate evangelists  responsibilitiesensuring all havens under a sacr portfolio are in good working condition.ensure resolution of all issues (technical or otherwise) raised or may be raised by the school are resolved with 48 hours.ensure all students and their guardians are captured on iqss database.ensure newly enrolled students and their guardians are captured on iqss database within 48 hours of enrolment.identify key stakeholders within the organization.ensure all members of staff required to be captured in iqss database are captured.cross sell iqss mobile app to all parents and guardians of students in the school.cross sell iqss student management system to members of staffidentify opportunities within the school which can be leveraged on by iqss to improve its relationship with the client.identify threats from within and outside the school to the relationship between the school and iqss.spearhead engagements relating to relationship management between the school and iqss.spearhead the timely remittance by iqss of all requested reports by the schoolrender all reports to iqss within the stipulated timeframe. work with internal departments to meet customer's needsdata entry in various platformsqualificationsexcellent excellent verbal, written, and interpersonal skillsability to multi-task, organize, and prioritize workcomputer savvyif interested, email aadeyemi@iqs-solutions.comsalary : n51,000location:  ikoyi.",IQ SYSTEMS SOLUTIONS LIMITED,Lagos,"ond, ma, msa, nce","General Managerial/Administration, CRM systems, Microsoft Excel, Word, PowerPoint"
2,Accountant,"•preparation of petty cash.• posting of petty cash vouchers.• imputing into gtb gaps application.• cheque writing where necessary.• issuing of invoices in conjunction with business development.• follow up on outstanding invoices in conjunction with business development.• settling of monthly capitation, fss in conjunction with the medical administrator and other non-medical invoices.•daily log in of all financial transactions into the system.",Health insurance company,Lagos,,"financial reporting principles, MS Office, ACA, knowledge of O2C,AR, ERP system"
3,Customer Service Representative,"summaryour client, (a reputable retail gas store) is hiring for the role of a customer service and sale representative. as the customer service and sales representative you are expected to study the sales level of products, maintain, improve and monitor the daily business functions and also ensure that safety protocols are strictly adhered to. you will manage the flow of bookings and see to the delivery of gas products.the ideal candidate will have impeccable relational skills, good knowledge of operation, and can create win/win environments for all parties that he or she works with. you will be responsible for managing all enquiries, relating them to the relevant department, monitoring daily operations and ensuring every customer is satisfied.if you have what it takes to be hands-on, use your initiative and charm the socks off customers then you should apply.location: victoria islandwork hours: monday – saturday (9am-6pm), saturday (remotely)salary: 70,000 - 80,000availability to start: as soon as possibleresponsibilitiesensure that the highest safety standards are met and implementedimplement measures to ensure seamless and safe receipt, storage, handling and dispatch of products in the terminalgenerate weekly and monthly reports to management on the status of operations.ensure high levels of customers satisfaction through excellent serviceensure compliance with policies and proceduresmaintain outstanding station condition and merchandising standardsfollow up with client orders to ensure they are delivered to clients promptlydeliver the highest level of professional service to customersmanage the flow of bookings and see to the delivery of gas product from start to finishmaintain the cleanliness of the environmentrecord daily sales, receive and follow up on payment of all client ordersbuild processes that meet our business objective and ensure compliancemanaging point-of-sale processesactively involved in the receiving new productkeeping up to date with product informationmonitor financial data and recommend solutions that will improve profitabilityfollowing all companies policies and procedures requirementsrequirements• excellent verbal and written communications skills• strong interpersonal and analytical skills• detail-oriented• strong organizational skills• proficiency in excel• excellent time management, project organization, and follow-through skills.• demonstrated ability to increase customer satisfactionjob qualifications• bachelor's degree or equivalent experience• experience in customer success",WorQulture,Lagos,"ma, bachelor, mea, ond, mma, mpa, n cre, nce","General Managerial/Administration, CRM systems, Microsoft Excel, Word, PowerPoint"
4,Assistant,i need an assistant who is very proficient in academic research and research writing. your responsibility will involve assisting me in carrying out my tasks. sending me previous academic writings you have done is an added advantage.,The Image Makers Company,Lagos,,"Outlook, Excel, Word, PowerPoint, Google Spreadsheets"
5,HR Representative,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptiondangote group is one of nigeria’s most diversified business conglomerates with a hard – earned reputation for excellent business practices and products’ quality with its operational headquarters in the bustling metropolis of lagos, nigeria in west africa.we are recruiting to fill the position ofjob title: hr representativelocation: kogibusiness: sugarfunction / domain: human resourcesslots: 2 openingsposition descriptionthe candidate will be responsible for supervising and control of hr matters to the agriculture department.this will include administrative records, labour discipline, recruitment and other relevant duties.job responsibilitieskeep and maintain records for agricultural staff as required.assist the hr department with recruitment of staff.continuous appraisal and intervention with staff and managers to ensure a good and safe working environment.assist management with community relations.assist with disciplinary cases as required.any other duties as required by management.desired qualification / preferred competenciesa relevant university degree.3 years of work experience.a good understanding of labour law, company rules and regulations.the candidate must also be able to act calmly in difficult situations to be able to achieve desired results. good negotiating skillsthe candidate must have the respect of staff and community.application closing date18th november, 2021.don't keep! kindly share:",Dangote Industries Limited,Kogi,"ond, mpa, ma, nce","Human Resources or related discipline, Labour law, Ms office, Experience on Visa application procedure, management skills, employment equity regulations"
6,Oracle,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionoracle provides the world’s most complete, open, and integrated business software and hardware systems, with more than 370,000 customers including 100 of the fortune 100 representing a variety of sizes and industries in more than 145 countries around the globe.we are recruiting to fill the following positions below business operations leader, strategy and business management location: nigeria  business operations leader – high potential industries, strategy and business management location: nigeria  erp cloud applications sales representative – financial services industry (nigeria) location: lagos  senior sales & people manager location: lagos  senior customer success manager location: lagos  lead business finance partner – mea tech cloud location: lagos  technology license sales account manager – telco sectorlocation: lagos senior consulting sales manager, banking – west africalocation: lagosapplication closing datenot specified.don't keep! kindly share:",Oracle Limited,Lagos,"mpa, ma, mea, nce","Cloud Service experience, selling technology-related products, Technology Enterprise Software product knowledge, Data Center technologies,Oracle�s technology products knowledge"
7,Legal/Governance/HR Executive,"job briefwe are a corporate services firm that renders company secretarial/legal advisory/hr & governance consulting services on an outsourced basis; looking to hire a young, smart and self-motivated lawyer who will join the team in providing qualitative and innovative services to our esteemed clients. our ideal candidate must be very confident, trustworthy, reliable, confident, very well organized with experience in company secretarial, legal advisory and hr services.   job description- draft and/or review a wide variety of legal agreements.- provide advice/legal opinion on corporate legal issues and business matters as well as labour/employee related issues.- provide the full spectrum of company secretarial services to external clients on an outsourced basis.- ensure clients comply with extant law and regulations.- monitor the maintenance of the registers and other records required to be maintained and/or filed by the organization under the companies and allied matters act (cama).- draft guidelines, policies, procedures & governance documents.- incorporate new businesses and develop the required governance structure- conduct land & title searches as well as perfection of title.- strategic human resource administration on an outsourced basis.- draft and/or review hr policies and procedures.- developing methods for compiling and analyzing data for reports and special projects.- conducting audits of hr activities to ensure compliance. qualifications and experience- proven 5– 6 years post nysc experience.- a degree in law from a reputable university (minimum of second class upper).- member of the nigerian bar association.- must possess the cipm certification.- sound knowledge of microsoft office applications especially word, powerpoint and excel.- excellent written & verbal communication skills.- strong knowledge of corporate/company & labour law.- commitment and enthusiasm in the delivery of the organization's objectives.- ability to exercise sound judgment and discretion.- excellent team working abilities- excellent research and writing skills. a record of undertaking research and writing of papers, reports, presentations would be an added advantage.- an ll.m degree would be an added advantage.- icsan certification would be an added advantage. note: applicants resident on the island would have an added advantage.applicants should send their cv’s to k.hrtalents@gmail.com",KNN Corporate Services Ltd,Lagos,"ma, ond, mpa, ma, nce","Telecom Technologies, Internet of Things, Smart Solutions, Internet Broadband, Smart Solutions,  Labour Laws, Laws, Intellectual Property Rights, Copyrights and patents"
9,Human Resources Supervisor,"vacancy: hr supervisorindustry: professional serviceslocation: lagosour organization provides professional services which include staffing and recruitment solutions to a wide range of clientele. we are looking to hire a hr supervisor who will be responsible for developing, coordinating and handling of the human capital management services of the company.responsibilitiesresponsible for benefits management.ensure that the business keeps current with employment-related government regulations.responsible for payroll & employment administration - this includes payroll, payroll taxes, garnishments, quarterly reports, employment verification and human resource management reports.responsible for policy development and documentation.deploy and lead creative and innovative strategies to recruit, develop and retain diverse workforce committed to providing value- driven outcomes.support the hr manager in workforce planning projection and activities as part of executing the functional business plan.maintain the hris database and employee files; develop forms and processes for all employee related actions.create and implement culture change processes; facilitate employee engagement cascade and development of action plans.requirementsa bachelors degree in human resources or any other social sciences fielda minimum of five years of experience with at least two years in a supervisory roleprofessional certification in cipm, cipd, hrci, shrm or any relevant certification.proficiency with applications such as word, excel and powerpointnet month salary range: n200,000 - n300,000qualified candidates should send their cv to recruitment@fosadconsulting.com with subject ""hr supervisor""application deadline: 8/11/2021",Fosad Consulting,Lagos,"ma, bachelors, mpa, nce","CHR, SHRM, CIPD, Microsoft Office applications, Human Resources Management, Benefits Administration"
10,Customer Service Officer,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionpruvia integrated limited – we are general service merchants with a strong desire to ensure customer satisfaction in the midst of efficient and effective service delivery. we offer a wide range of services. these services are delivered with skilled and experience guided by our core values and driven by our belief that impossibility is nothing.we are recruiting to fill the position belowjob title: customer service officerlocation: akowonjo, lagosjob briefwe are looking for a customer-oriented service officer. who will act as a liaison, provide product/services information, answer questions, and resolve any emerging problems that our customer accounts might face with accuracy and efficiency. responsibilitiesmanage large amounts of incoming phone calls.generate sales leads.identify and assess customers’ needs to achieve satisfaction.build sustainable relationships and trust with customer accounts through open and interactive communicationprovide accurate, valid and complete information by using the right methods/tools.meet personal/customer service team sales targets and call handling quotas.handle customer complaints, provide appropriate solutions and alternatives within the time limits; follow up to ensure resolution.keep records of customer interactions, process customer accounts and file documents. requirementsssce holder only.2 years of proven customer support experience, customer service executive and telemarketing.track record of over-achieving quota.strong phone contact handling skills and active listening.familiarity with crm systems and practices.customer orientation and ability to adapt/respond to different types of characters.must be computer savvy.excellent communication and presentation skills.ability to multi-task, prioritize, and manage time effectively.female preferably.applicants must be fluent in yoruba language.application closing date16th november, 2021.don't keep! kindly share:",Pruvia Integrated Limited,Lagos,"ssce, ma, ond, mpa, nce","Computer literacy, sales experience, customer support, Data Entry, negotiation, persuasion techniques"
